Annee,Diplome niveau college Femme,Diplome niveau college Homme,"CAP, BEP Femme","CAP, BEP Homme",Baccalauréat Femme,Baccalauréat Homme,Au moins Bac + 2 Femme,Au moins Bac + 2 Homme
2006,10241392,7506370,4607239,6238953,3642225,3192858,5348514,4744658
2007,10044709,7383942,4656139,6275829,3735690,3278692,5587799,4923924
2008,9863514,7264311,4700772,6307712,3825115,3364690,5812064,5090051
2009,9673840,7143848,4743176,6337527,3906940,3442495,6041357,5253392
2010,9479553,7017036,4777764,6358306,3992021,3528388,6258653,5408141
2011,9298382,6897512,4812022,6381271,4078328,3610067,6468284,5558339
2012,9116457,6784327,4828342,6382653,4161089,3694678,6687537,5715148
2013,8910627,6649768,4933827,6436660,4197274,3723360,6891446,5898818
2014,8674592,6461784,5047117,6526217,4252064,3760938,7106537,6091948
2015,8430489,6268787,5149246,6607788,4296519,3788653,7333522,6290352
2016,8178148,6061434,5233971,6673921,4334415,3809708,7565115,6494770
2017,7916830,5847449,5315538,6740140,4374936,3832849,7808976,6711891
2018,7679635,5684754,5326923,6753353,4465380,3916982,8067871,6901996
