Annee,Femmes,Hommes
1975,"5","2,7"
1976,"5,8","2,8"
1977,"6,4","3,2"
1978,"6,5","3,4"
1979,"7,3","3,8"
1980,"8,2","3,8"
1981,"9,1","4,8"
1982,"9,5","5,4"
1983,"9,7","5,8"
1984,"10,8","7"
1985,"11","7,7"
1986,"11","7,7"
1987,"11,4","7,5"
1988,"11,1","7,1"
1989,"10,5","6,4"
1990,"10,1","6,3"
1991,"10,2","6,5"
1992,"11","7,5"
1993,"11,5","8,8"
1994,"12","9,4"
1995,"11,5","8,7"
1996,"11,8","9,3"
1997,"11,8","9,6"
1998,"11,5","9,1"
1999,"11,1","8,9"
2000,"9,8","7,4"
2001,"9","6,7"
2002,"8,7","7,2"
2003,"9,3","7,8"
2004,"9,7","8,2"
2005,"9,6","8,2"
2006,"9,5","8,3"
2007,"8,4","7,6"
2008,"7,8","7,1"
2009,"9,2","9"
2010,"9,5","9,1"
2011,"9,5","8,9"
2012,"9,7","9,8"
2013,"10,2","10,4"
2014,"10","10,5"
2015,"9,9","10,8"
2016,"9,8","10,3"
2017,"9,4","9,5"
2018,"9","9"
2019,"8,4","8,5"
2020,"8","8,1"
2021,"7,8","8"
