Annee,Femmes,Hommes,Ensemble
2021,14495,15125,29620
2020,14333,14867,29200
2019,14453,15018,29470
2018,14450,15129,29579
2017,14351,15097,29448
2016,14366,15060,29426
2015,14327,15087,29414
2014,14287,15073,29360
2013,14217,15135,29352
2012,14091,15117,29208
2011,13991,15020,29011
2010,13986,15054,29040
2009,13930,15005,28935
2008,13773,14917,28690
2007,13654,14849,28503
2006,13504,14800,28305
2005,13367,14737,28104
2004,13211,14691,27902
2003,13054,14619,27674
2002,12832,14596,27428
2001,12662,14452,27114
2000,12546,14401,26947
1999,12354,14274,26628
1998,12203,14187,26390
1997,12044,14187,26231
1996,12050,14194,26244
1995,11897,14050,25947
1994,11750,14046,25796
1993,11652,14035,25687
1992,11487,14066,25552
1991,11337,14027,25364
1990,11281,14132,25413
1989,11198,14170,25368
1988,11069,14125,25195
1987,11009,14168,25177
1986,10905,14209,25114
1985,10683,14188,24872
1984,10579,14112,24691
1983,10407,14169,24576
1982,10317,14191,24508
1981,10150,14150,24300
1980,9984,14146,24131
1979,9816,14018,23834
1978,9520,13865,23386
1977,9453,13836,23290
1976,9192,13759,22951
1975,8959,13707,22666
